Date,Year,Week,DayOfWeek,Habit,TimesCompleted,WeeklyGoal,DaysLeft,CompletedGoal
2024-06-24,2024,26,Monday,Gym,1,3,6,0
2024-06-25,2024,26,Tuesday,Gym,2,3,5,0
2024-06-26,2024,26,Wednesday,Gym,2,3,4,0
2024-06-27,2024,26,Thursday,Gym,3,3,3,1
2024-06-28,2024,26,Friday,Gym,4,3,2,1
2024-06-29,2024,26,Saturday,Gym,5,3,1,1
2024-06-30,2024,26,Sunday,Gym,5,3,0,1
2024-06-24,2024,26,Monday,Leetcode,1,5,6,0
2024-06-25,2024,26,Tuesday,Leetcode,3,5,5,0
2024-06-26,2024,26,Wednesday,Leetcode,4,5,4,0
2024-06-27,2024,26,Thursday,Leetcode,6,5,3,1
2024-06-28,2024,26,Friday,Leetcode,9,5,2,1
2024-06-29,2024,26,Saturday,Leetcode,10,5,1,1
2024-06-30,2024,26,Sunday,Leetcode,12,5,0,1
2024-06-24,2024,26,Monday,Prayer,1,7,6,0
2024-06-25,2024,26,Tuesday,Prayer,2,7,5,0
2024-06-26,2024,26,Wednesday,Prayer,3,7,4,0
2024-06-27,2024,26,Thursday,Prayer,4,7,3,0
2024-06-28,2024,26,Friday,Prayer,5,7,2,0
2024-06-29,2024,26,Saturday,Prayer,6,7,1,0
2024-06-30,2024,26,Sunday,Prayer,7,7,0,1
2024-07-01,2024,27,Monday,Gym,1,3,6,0
2024-07-01,2024,27,Monday,Leetcode,2,5,6,0
2024-07-01,2024,27,Monday,Prayer,1,7,6,0
